Fecha,NO2 (µg/m³),CH (mg/m3),not CH4 (mg/m3),SP (µg/m³),NO (µg/m³),O3 (µg/m³),Toluene (µg/m³),Benzene (µg/m³)
2016-01-01T00:00:00.000Z,50.0,7.5,0.1,40.0,25.0,2.0,1.8,0.7
2016-01-01T01:00:00.000Z,54.0,9.4,0.1,52.0,40.0,2.0,3.0,0.8
2016-01-01T02:00:00.000Z,58.0,8.4,0.2,76.0,62.0,2.0,2.8,1.1
2016-01-01T03:00:00.000Z,48.0,6.7,0.1,55.0,14.0,4.0,1.3,0.7
2016-01-01T04:00:00.000Z,49.0,7.0,0.1,31.0,22.0,1.0,0.5,0.5
2016-01-01T05:00:00.000Z,48.0,7.8,0.1,27.0,32.0,1.0,0.7,0.6
2016-01-01T06:00:00.000Z,45.0,7.3,0.1,31.0,15.0,3.0,0.9,0.6
2016-01-01T07:00:00.000Z,47.0,7.5,0.1,27.0,19.0,1.0,0.3,0.5
2016-01-01T08:00:00.000Z,47.0,8.6,0.2,29.0,31.0,1.0,1.2,0.7
2016-01-01T09:00:00.000Z,42.0,8.8,0.1,25.0,20.0,7.0,1.2,0.7
2016-01-01T10:00:00.000Z,34.0,8.8,0.1,21.0,8.0,19.0,0.1,0.4
2016-01-01T11:00:00.000Z,28.0,8.1,0.1,19.0,7.0,31.0,0.1,0.3
2016-01-01T12:00:00.000Z,34.0,8.3,0.1,12.0,10.0,23.0,0.1,0.3
2016-01-01T13:00:00.000Z,26.0,7.4,0.1,12.0,6.0,39.0,0.1,0.4
2016-01-01T14:00:00.000Z,27.0,7.0,0.1,5.0,4.0,39.0,0.1,0.2
2016-01-01T15:00:00.000Z,35.0,7.2,0.1,5.0,6.0,31.0,0.1,0.4
2016-01-01T16:00:00.000Z,27.0,6.7,0.1,10.0,6.0,31.0,0.1,0.3
2016-01-01T17:00:00.000Z,38.0,7.0,0.1,10.0,9.0,17.0,0.1,0.3
2016-01-01T18:00:00.000Z,47.0,7.5,0.1,16.0,16.0,6.0,0.2,0.6
2016-01-01T19:00:00.000Z,40.0,6.9,0.1,13.0,9.0,15.0,0.2,0.6
2016-01-01T20:00:00.000Z,23.0,6.4,0.1,5.0,2.0,38.0,0.1,0.2
2016-01-01T21:00:00.000Z,14.0,6.4,0.1,4.0,2.0,47.0,0.1,0.2
2016-01-01T22:00:00.000Z,15.0,6.6,0.1,2.0,2.0,53.0,0.1,0.2
2016-01-01T23:00:00.000Z,18.0,6.6,0.1,7.0,2.0,44.0,0.1,0.2
2016-01-02T00:00:00.000Z,10.0,6.6,0.1,5.0,2.0,50.0,0.1,0.2
2016-01-02T01:00:00.000Z,5.0,6.7,0.1,7.0,1.0,60.0,0.1,0.2
2016-01-02T02:00:00.000Z,6.0,6.7,0.1,5.0,1.0,64.0,0.1,0.2
2016-01-02T03:00:00.000Z,10.0,6.9,0.1,3.0,1.0,49.0,0.1,0.2
2016-01-02T04:00:00.000Z,10.0,6.9,0.1,5.0,1.0,51.0,0.1,0.2
2016-01-02T05:00:00.000Z,9.0,6.9,0.1,6.0,1.0,53.0,0.1,0.2
2016-01-02T06:00:00.000Z,7.0,6.8,0.1,8.0,1.0,56.0,0.1,0.2
2016-01-02T07:00:00.000Z,9.0,7.0,0.1,12.0,1.0,49.0,0.1,0.2
2016-01-02T08:00:00.000Z,9.0,6.4,0.1,10.0,1.0,50.0,0.1,0.2
2016-01-02T09:00:00.000Z,10.0,6.3,0.1,13.0,2.0,47.0,0.8,0.3
2016-01-02T10:00:00.000Z,11.0,6.3,0.1,15.0,2.0,48.0,0.1,0.2
2016-01-02T11:00:00.000Z,8.0,6.3,0.1,15.0,2.0,58.0,0.1,0.2
2016-01-02T12:00:00.000Z,6.0,6.3,0.1,6.0,2.0,75.0,0.1,0.2
2016-01-02T13:00:00.000Z,6.0,6.3,0.1,10.0,2.0,75.0,0.1,0.2
2016-01-02T14:00:00.000Z,5.0,6.3,0.1,11.0,1.0,78.0,0.1,0.2
2016-01-02T15:00:00.000Z,4.0,6.3,0.1,6.0,1.0,82.0,0.1,0.2
2016-01-02T16:00:00.000Z,4.0,6.3,0.1,4.0,1.0,80.0,0.1,0.2
2016-01-02T17:00:00.000Z,7.0,6.3,0.1,6.0,1.0,75.0,0.1,0.2
2016-01-02T18:00:00.000Z,15.0,6.3,0.1,4.0,1.0,63.0,0.1,0.2
2016-01-02T19:00:00.000Z,29.0,6.3,0.1,1.0,2.0,47.0,0.1,0.2
2016-01-02T20:00:00.000Z,29.0,6.3,0.1,9.0,1.0,47.0,0.1,0.2
2016-01-02T21:00:00.000Z,40.0,6.4,0.1,8.0,2.0,35.0,0.1,0.3
2016-01-02T22:00:00.000Z,47.0,6.4,0.1,4.0,4.0,29.0,0.1,0.3
2016-01-02T23:00:00.000Z,69.0,6.8,0.1,11.0,23.0,5.0,1.2,0.4
2016-01-03T00:00:00.000Z,75.0,6.9,0.1,18.0,42.0,2.0,1.0,0.6
2016-01-03T01:00:00.000Z,69.0,6.7,0.1,22.0,28.0,2.0,1.4,0.6
2016-01-03T02:00:00.000Z,58.0,7.1,0.1,20.0,35.0,2.0,2.0,0.6
